typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","222","SLV","El Salvador","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","2","false","-1","N/A",,"false",,"true",,"false",,"69","69","4","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","226","GNQ","Equatorial Guinea","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","3000","false","-1","N/A",,"false","410","false",,"false",,"3771","3771","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","233","EST","Estonia","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","883","false","-1","N/A",,"false","764","false",,"false",,"310737","310737","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","246","FIN","Finland","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","11969","false","-1","N/A",,"false","8529","false",,"false",,"3911251","3911251","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","258","PYF","French Polynesia","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1461","false","-1","N/A",,"false","804","false",,"false",,"50878","50878","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","262","DJI","Djibouti","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","78","false","-1","N/A",,"false","20","false",,"false",,"1312","1312","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","266","GAB","Gabon","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","1886","false","-1","N/A",,"false","1622","false",,"false",,"182076","182076","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","268","GEO","Georgia","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","42","false","-1","N/A",,"false","56","false",,"false",,"26790","26790","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","276","DEU","Germany","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","266103","false","-1","N/A",,"false","192568","false",,"false",,"132697016","132697016","0","true","false",
"C","A","20130101","2013","52","2013","251","FRA","France","X","Export","288","GHA","Ghana","0","W00","World","H4","HS","true","420221","Cases and containers; handbags (whether or not with shoulder strap and including those without handle), with outer surface of leather or of composition leather","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","5","u","67","false","-1","N/A",,"false","370","false",,"false",,"26396","26396","0","true","false",
